paper_id,title,year,language,journal_or_source,doi,pdf_path,source_collection,topic_group,method_group,relevance_level,has_pdf,has_reader,has_paper_card,read_in_batch_01,read_in_batch_02,read_in_remote_sensing_style_rereading,included_in_skill_source,coverage_status,importance_for_skill,missing_reason,recommended_action
KRD0088,,,,,,docs/literature/pdfs/package_2000_2026/CN003_DeepLabV3.pdf; docs/literature/pdfs/package_2021_2026/CN02_DeepLabV3.pdf,package_2000_2026; package_2021_2026,deep_learning_segmentation,DeepLabV3+,,no,no,no,no,no,no,no,pdf_missing,high,no PDF path or local PDF was found,manual_check
KRD0089,,,,,,docs/literature/pdfs/package_2000_2026/CN006_GEE.pdf; docs/literature/pdfs/package_2021_2026/CN04_GEE_KRD_spatiotemporal_evolution.pdf,package_2000_2026; package_2021_2026,gee_time_series,GEE,,no,no,no,no,no,no,no,pdf_missing,high,no PDF path or local PDF was found,manual_check
KRD0090,,,,,,docs/literature/pdfs/package_2000_2026/EN002_Extraction_of_rocky_desertification_information_in_karst_are.pdf; docs/literature/pdfs/package_2021_2026/EN04_Extraction_of_rocky_desertification_information_in_karst_area_by_using_different_multispec.pdf,package_2000_2026; package_2021_2026,rocky_desertification_classification,unknown,,no,no,no,no,no,no,no,pdf_missing,high,no PDF path or local PDF was found,manual_check
KRD0091,,,,,,docs/literature/pdfs/package_2000_2026/EN003_Machine_learning_algorithm_for_estimating_karst_rocky_desert.pdf; docs/literature/pdfs/package_2021_2026/EN05_Machine_learning_algorithm_for_estimating_karst_rocky_desertification_in_a_peak-cluster_de.pdf,package_2000_2026; package_2021_2026,machine_learning,unknown,,no,yes,yes,yes,no,no,yes,fully_read,critical,,no_action_needed
KRD0092,,,,,,docs/literature/pdfs/package_2000_2026/EN004_Comparing_Remote_Sensing_Methods_for_Monitoring_Karst_Rocky_.pdf,package_2000_2026,rocky_desertification_classification,unknown,,yes,yes,yes,yes,no,no,yes,fully_read,high,,no_action_needed
KRD0093,,,,,,docs/literature/pdfs/package_2000_2026/EN005_Analysis_of_Landsat-8_OLI_Imagery_for_Estimating_Exposed_Bed.pdf; docs/literature/pdfs/remote_sensing_only/2018_RemoteSens_10_1321_Analysis_of_Landsat-8_OLI_Imagery_for_Estimating_Exposed_Bed.pdf,package_2000_2026; remote_sensing_only,other,unknown,,no,no,no,no,no,no,no,pdf_missing,low,no PDF path or local PDF was found,manual_check
KRD0094,,,,,,docs/literature/pdfs/package_2000_2026/EN007_KRD_MESMA_SVM.pdf; docs/literature/pdfs/package_2021_2026/EN06_Monitoring_and_Classification_of_Karst_Rocky_Desertification_with_Landsat.pdf,package_2000_2026; package_2021_2026,lsmm_mesma_sma,MESMA;SMA;SVM,,no,yes,yes,yes,no,no,yes,fully_read,critical,,no_action_needed
KRD0095,,,,,,docs/literature/pdfs/package_2000_2026/EN009_Classification_of_Karst_Rocky_Desertification_Levels_in_Jins.pdf; docs/literature/pdfs/package_2021_2026/EN08_Classification_of_Karst_Rocky_Desertification_Levels_in_Jinsha_County_Using_a_Feature_Spac.pdf; docs/literature/pdfs/remote_sensing_only/2024_RemoteSens_16_4786_Classification_of_Karst_Rocky_Desertification_Levels_in_Jins.pdf,package_2000_2026; package_2021_2026; remote_sensing_only,machine_learning,unknown,,no,yes,yes,yes,no,no,yes,fully_read,critical,,no_action_needed
KRD0096,,,,,,docs/literature/pdfs/package_2000_2026/EN010_Extraction_of_Rocky_Desertification_Information_in_the_Karst.pdf; docs/literature/pdfs/remote_sensing_only/2023_RemoteSens_15_3056_Extraction_of_Rocky_Desertification_Information_in_the_Karst.pdf,package_2000_2026; remote_sensing_only,rocky_desertification_classification,unknown,,no,no,no,no,no,no,no,pdf_missing,high,no PDF path or local PDF was found,manual_check
KRD0097,,,,,,docs/literature/pdfs/package_2000_2026/EN013_Spatiotemporal_Evolution_and_Driving_Factors_of_Karst_Rocky_.pdf; docs/literature/pdfs/remote_sensing_only/2025_RemoteSens_17_2294_Spatiotemporal_Evolution_and_Driving_Factors_of_Karst_Rocky_.pdf,package_2000_2026; remote_sensing_only,gee_time_series,time_series,,no,no,no,no,no,no,no,pdf_missing,high,no PDF path or local PDF was found,manual_check
KRD0098,,,,,,docs/literature/pdfs/package_2000_2026/EN014_Dynamic_evolution_of_rocky_desertification_and_vegetation_re.pdf,package_2000_2026,rocky_desertification_classification,unknown,,yes,no,no,no,no,no,no,unread_but_indexed,critical,PDF exists but no reader or card was detected,batch_03_full_reading
KRD0099,,,,,,docs/literature/pdfs/package_2000_2026/EN015_KRD_GEE.pdf; docs/literature/pdfs/package_2021_2026/EN13_Spatiotemporal_evolution_of_karst_rocky_desertification_and_its_driving_factors_in_southwe.pdf,package_2000_2026; package_2021_2026,gee_time_series,GEE,,no,no,no,no,no,no,no,pdf_missing,high,no PDF path or local PDF was found,manual_check
KRD0100,,,,,,docs/literature/pdfs/package_2000_2026/EN016_Classification_of_rocky_desertification_degrees_and_analysis.pdf; docs/literature/pdfs/package_2021_2026/EN15_Classification_of_rocky_desertification_degrees_and_spatiotemporal_distribution_patterns_u.pdf,package_2000_2026; package_2021_2026,machine_learning,unknown,,no,no,no,no,no,no,no,pdf_missing,high,no PDF path or local PDF was found,manual_check
KRD0101,,,,,,docs/literature/pdfs/package_2000_2026/EN017_KRD_Remote_Sensing_Review.pdf,package_2000_2026,review,review,,yes,no,no,no,no,no,no,unread_but_indexed,medium,PDF exists but no reader or card was detected,add_to_literature_map_only
KRD0102,,,,,,docs/literature/pdfs/package_2000_2026/EN018_Spatiotemporal_Evolution_Analysis_and_Future_Scenario_Predic.pdf; docs/literature/pdfs/package_2021_2026/EN03_Spatiotemporal_Evolution_Analysis_and_Future_Scenario_Prediction_of_Rocky_Desertification_.pdf; docs/literature/pdfs/remote_sensing_only/2022_RemoteSens_14_292_Spatiotemporal_Evolution_Analysis_and_Future_Scenario_Predic.pdf,package_2000_2026; package_2021_2026; remote_sensing_only,gee_time_series,time_series,,no,no,no,no,no,no,no,pdf_missing,high,no PDF path or local PDF was found,manual_check
KRD0103,,,,,,docs/literature/pdfs/package_2000_2026/EN019_Information_Extraction_and_Prediction_of_Rocky_Desertificati.pdf,package_2000_2026,other,unknown,,yes,no,no,no,no,no,no,unread_but_indexed,low,PDF exists but no reader or card was detected,add_to_literature_map_only
KRD0104,,,,,,docs/literature/pdfs/package_2000_2026/EN025_KRSEI.pdf,package_2000_2026,other,unknown,,yes,no,no,no,no,no,no,unread_but_indexed,low,PDF exists but no reader or card was detected,add_to_literature_map_only
KRD0105,,,,,,docs/literature/pdfs/package_2000_2026/ssrn-4685103.pdf,package_2000_2026,other,unknown,,yes,no,no,no,no,no,no,unread_but_indexed,low,PDF exists but no reader or card was detected,add_to_literature_map_only
KRD0106,,,,,,docs/literature/pdfs/package_2000_2026/西南喀斯特不同生境石漠化程度划分方法研究_唐荣彬.pdf,package_2000_2026,rocky_desertification_classification,unknown,,yes,no,no,no,no,no,no,unread_but_indexed,high,PDF exists but no reader or card was detected,batch_03_quick_reading
KRD0107,,,,,,docs/literature/pdfs/package_2021_2026/1-s2.0-S1574954125002134-main.pdf,package_2021_2026,other,unknown,,yes,no,no,no,no,no,no,unread_but_indexed,low,PDF exists but no reader or card was detected,add_to_literature_map_only
KRD0108,,,,,,docs/literature/pdfs/package_2021_2026/1-s2.0-S2307410825000665-main.pdf,package_2021_2026,other,unknown,,yes,no,no,no,no,no,no,unread_but_indexed,low,PDF exists but no reader or card was detected,add_to_literature_map_only
KRD0109,,,,,,docs/literature/pdfs/package_2021_2026/A novel-optimal monitoring index of rocky desertification based on feature space model and red edge indices that derived from sentinel-2 MSI image.pdf,package_2021_2026,rocky_desertification_classification,feature_space;vegetation_index,,yes,no,no,no,no,no,no,unread_but_indexed,critical,PDF exists but no reader or card was detected,batch_03_full_reading
KRD0110,,,,,,docs/literature/pdfs/package_2021_2026/CN03_Vis-NIR.pdf,package_2021_2026,other,unknown,,yes,no,no,no,no,no,no,unread_but_indexed,low,PDF exists but no reader or card was detected,add_to_literature_map_only
KRD0111,,,,,,docs/literature/pdfs/package_2021_2026/main.pdf,package_2021_2026,other,unknown,,yes,no,no,no,no,no,no,unread_but_indexed,low,PDF exists but no reader or card was detected,add_to_literature_map_only
KRD0112,,,,,,docs/literature/pdfs/remote_sensing_only/2014_RemoteSens_6_9895_Is_Forest_Restoration_in_the_Southwest_China_Karst_Promoted_.pdf,remote_sensing_only,rocky_desertification_classification,unknown,,yes,no,no,no,no,yes,yes,style_read_only,high,read for Remote Sensing style but not full scientific reader,batch_03_quick_reading
KRD0113,,,,,,docs/literature/pdfs/remote_sensing_only/2016_RemoteSens_8_68_Quantitative_Estimation_of_Carbonate_Rock_Fraction_in_Karst_.pdf,remote_sensing_only,bare_rock_fraction_fbr,unknown,,yes,no,no,no,no,yes,yes,style_read_only,critical,read for Remote Sensing style but not full scientific reader,batch_03_quick_reading
KRD0114,,,,,,docs/literature/pdfs/remote_sensing_only/2021_RemoteSens_13_1614_How_Can_We_Realize_Sustainable_Development_Goals_in_Rocky_De.pdf,remote_sensing_only,other,unknown,,yes,no,no,no,no,yes,yes,style_read_only,low,read for Remote Sensing style but not full scientific reader,add_to_literature_map_only
KRD0115,,,,,,docs/literature/pdfs/remote_sensing_only/2022_RemoteSens_14_2351_The_Changes_of_Spatiotemporal_Pattern_of_Rocky_Desertificati.pdf,remote_sensing_only,gee_time_series,time_series,,yes,no,no,no,no,yes,yes,style_read_only,high,read for Remote Sensing style but not full scientific reader,batch_03_quick_reading
KRD0116,基于改进DeepLabV3+的石漠化地区裸岩信息提取,,Chinese,,,docs/literature/pdfs/package_2000_2026/基于改进DeepLabV3+的石漠化地区裸岩信息提取_吴永俊.pdf,package_2000_2026,deep_learning_segmentation,DeepLabV3+,high,yes,yes,yes,yes,no,no,yes,fully_read,critical,,no_action_needed
